legacy_fact_id,technical_topic,concise_factual_claim,classification,classification_reason,short_engineering_explanation,application_limitations_or_context,appropriate_destination_page,supporting_source,last_reviewed_date,human_technical_review_required,approved_for_publication
LEGACY-0177,Maintenance Checklists,Maintenance Checklists must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/punch-die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0178,Operator Training,Operator Training must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/punch-die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0179,International Logistics,International Logistics must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/punch-die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0180,Continuous Improvement,Continuous Improvement must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/punch-die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0181,Surface engineering is broader than polishing.,Surface engineering is broader than polishing.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0182,Surface performance depends on the complete system.,Surface performance depends on the complete system.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0183,Ra is only one surface parameter.,Ra is only one surface parameter.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0184,Surface directionality can affect product movement.,Surface directionality can affect product movement.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0185,Localized defects can dominate performance.,Localized defects can dominate performance.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0186,Surface chemistry influences adhesion.,Surface chemistry influences adhesion.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0187,Friction and adhesion are related but different.,Friction and adhesion are related but different.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0188,Surface energy is not a standalone selection rule.,Surface energy is not a standalone selection rule.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0189,Substrate hardness affects surface durability.,Substrate hardness affects surface durability.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0190,Corrosion resistance depends on exposure and defects.,Corrosion resistance depends on exposure and defects.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0191,Wear mechanisms should be identified.,Wear mechanisms should be identified.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0192,Coating thickness changes geometry.,Coating thickness changes geometry.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0193,Edge condition influences coating life.,Edge condition influences coating life.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0194,Engraving is a complex surface zone.,Engraving is a complex surface zone.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0195,Cleaning compatibility is part of surface design.,Cleaning compatibility is part of surface design.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0196,A mirror finish is not a universal goal.,A mirror finish is not a universal goal.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0197,Very smooth surfaces can still stick.,Very smooth surfaces can still stick.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0198,Rough surfaces can increase retention.,Rough surfaces can increase retention.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0199,Microfinish™ should be application-defined.,Microfinish™ should be application-defined.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0200,Surface engineering can support cleanability.,Surface engineering can support cleanability.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0201,Surface treatments can change maintenance needs.,Surface treatments can change maintenance needs.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0202,Coating families contain many variants.,Coating families contain many variants.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0203,Hardness does not equal anti-stick performance.,Hardness does not equal anti-stick performance.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0204,Low friction does not guarantee corrosion resistance.,Low friction does not guarantee corrosion resistance.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0205,Corrosion can start beneath damaged coatings.,Corrosion can start beneath damaged coatings.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0206,Surface preparation controls coating adhesion.,Surface preparation controls coating adhesion.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0207,Polishing can alter coating performance.,Polishing can alter coating performance.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0208,Restoration and coating should be planned together.,Restoration and coating should be planned together.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0209,Temperature can change surface interaction.,Temperature can change surface interaction.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0210,Humidity can change surface behavior.,Humidity can change surface behavior.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0211,Tool steel composition matters.,Tool steel composition matters.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0212,Surface treatment cannot repair structural damage.,Surface treatment cannot repair structural damage.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0213,Measurement location matters.,Measurement location matters.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0214,Repeatability matters more than one ideal sample.,Repeatability matters more than one ideal sample.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0215,Inspection lighting changes what is visible.,Inspection lighting changes what is visible.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0216,Surface engineering should include failure review.,Surface engineering should include failure review.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0217,Contact pressure affects local performance.,Contact pressure affects local performance.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0218,Product transfer can change over time.,Product transfer can change over time.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0219,Surface condition can affect tablet appearance.,Surface condition can affect tablet appearance.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0220,Surface engineering supports lifecycle planning.,Surface engineering supports lifecycle planning.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0221,International projects require clear specifications.,International projects require clear specifications.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0222,Technical documentation improves reproducibility.,Technical documentation improves reproducibility.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0223,Surface performance should be validated in production.,Surface performance should be validated in production.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0224,A coating may not be the first corrective action.,A coating may not be the first corrective action.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0225,Application-specific engineering is the core principle.,Application-specific engineering is the core principle.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0226,Defect Classification,Defect Classification must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0227,Station Mapping,Station Mapping must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0228,Startup Conditions,Startup Conditions must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0229,Steady-State Conditions,Steady-State Conditions must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0230,Time-To-Defect,Time-To-Defect must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0231,Feed-Frame Performance,Feed-Frame Performance must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0232,Powder Flow,Powder Flow must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0233,Die Filling,Die Filling must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0234,Weight Variation,Weight Variation must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0235,Precompression,Precompression must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0236,Main Compression,Main Compression must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0237,Force Variation,Force Variation must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0238,Dwell Time,Dwell Time must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0239,Turret Speed,Turret Speed must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0240,Compression-Roll Condition,Compression-Roll Condition must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0241,Cam Wear,Cam Wear must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0242,Punch-Head Wear,Punch-Head Wear must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0243,Barrel Guidance,Barrel Guidance must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0244,Key Condition,Key Condition must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0245,Press Lubrication,Press Lubrication must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0246,Ejection Force,Ejection Force must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0247,Take-Off Condition,Take-Off Condition must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0248,Die-Table Condition,Die-Table Condition must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0249,Alignment,Alignment must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0250,Temperature,Temperature must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0251,Vibration,Vibration must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0252,Tablet Sticking,Tablet Sticking must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0253,Tablet Picking,Tablet Picking must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0254,Tablet Capping,Tablet Capping must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0255,Tablet Lamination,Tablet Lamination must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0256,Tablet Chipping,Tablet Chipping must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0257,Tablet Binding,Tablet Binding must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0258,Double Impression,Double Impression must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0259,Tooling Wear,Tooling Wear must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0260,Coating Failure,Coating Failure must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0261,Cleaning Residue,Cleaning Residue must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0262,Maintenance History,Maintenance History must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0263,Good-Batch Comparison,Good-Batch Comparison must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0264,Good-Station Comparison,Good-Station Comparison must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0265,One-Variable Trials,One-Variable Trials must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/tablet-press-troubleshooting.html,No source supplied in legacy card,2026-08-07,Yes,No
